,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,set
0,0.0135,0.977,-0.071,-1.8904000000000003,2.4391999999999996,0.9388000000000002,64
1,-0.0014999999999999996,0.9704999999999999,-0.07949999999999999,-1.6826,-0.8904,2.1708,64
2,0.0013333333333333333,0.9716666666666667,-0.06433333333333334,2.5608000000000004,-0.2559999999999999,-1.4146,64
3,-0.024,0.957,-0.0735,8.061,-4.5244,-2.073,64
4,-0.027999999999999997,0.9576666666666666,-0.115,2.439,-1.5486,-3.6098,64
5,-0.026000000000000002,0.965,-0.118,0.4634000000000002,5.2194,-6.4636,64
6,-0.048666666666666664,0.79,-0.14533333333333334,21.695,8.1708,-28.219600000000003,64
7,-0.16999999999999998,0.8995,-0.25,17.5246,1.5976,-17.5854,64
8,-0.22266666666666668,0.907,-0.20433333333333334,-7.2318,-1.3536,-0.40260000000000007,64
9,-0.20450000000000002,0.9299999999999999,-0.14900000000000002,-28.683,-10.207600000000001,20.5732,64
10,-0.205,1.4046666666666667,-0.09500000000000001,-4.1098,-9.3172,-3.3412000000000006,64
11,-0.1635,0.996,-0.11299999999999999,35.5488,11.5732,-17.2074,64
12,-0.22066666666666668,0.904,-0.20833333333333334,4.8902,-0.28040000000000004,-0.13399999999999998,64
13,-0.222,0.9464999999999999,-0.221,-1.061,-2.1830000000000003,11.3536,64
14,-0.18433333333333335,0.9913333333333333,-0.19066666666666668,-28.426800000000004,-13.085399999999998,25.2684,64
15,-0.07350000000000001,0.762,-0.054,-27.524399999999996,-6.3048,22.8052,64
16,-0.011000000000000001,0.8506666666666667,-0.09433333333333332,12.0852,-0.3536,-5.4024,64
17,-0.0525,1.025,-0.0375,-6.5366,-0.7194,0.3414,64
18,-0.065,0.9553333333333334,-0.025333333333333333,1.2684,-3.0246,-1.2318,64
19,-0.0535,0.9655,-0.038500000000000006,4.8660000000000005,-2.0485999999999995,2.061,64
20,-0.04066666666666666,0.9899999999999999,-0.034,2.8538,-2.939,1.8656,64
21,-0.0475,0.961,-0.042499999999999996,2.1586,-1.512,0.3902,64
22,-0.054,0.9463333333333334,-0.06799999999999999,2.1586,2.7194000000000003,-3.8658,64
23,-0.0535,0.7685,-0.091,26.8048,11.8292,-22.305,64
24,-0.128,0.8453333333333334,-0.17066666666666666,27.9146,5.0732,-13.012199999999998,64
25,-0.1915,0.9179999999999999,-0.2545,-1.9026,-4.5244,-0.8412,64
26,-0.17966666666666667,0.9666666666666667,-0.17,-31.3658,-3.0612000000000004,20.0366,64
27,-0.22,1.557,-0.1955,11.3416,-5.061,-12.4998,64
28,-0.18200000000000002,0.9276666666666668,-0.17200000000000001,19.9268,0.26820000000000005,-15.756,64
29,-0.2195,0.904,-0.244,6.939,-2.6586,3.0245999999999995,64
30,-0.225,0.9416666666666668,-0.24633333333333332,-8.6586,-5.1706,7.6586,64
31,-0.193,0.986,-0.235,-26.0,-10.4634,20.7926,64
32,-0.10933333333333334,0.8886666666666666,-0.03166666666666667,-41.9512,-4.9878,27.1826,64
33,-0.010499999999999999,0.6180000000000001,-0.0525,15.487800000000002,-6.939,-4.9876,64
34,-0.06933333333333334,1.09,-0.009333333333333334,2.1832000000000003,0.14640000000000003,1.6463999999999999,64
35,-0.06,0.9235,-0.0235,1.7315999999999998,0.09759999999999991,0.7926000000000001,64
36,-0.04466666666666667,0.975,-0.024333333333333332,3.3171999999999997,0.41459999999999997,4.5607999999999995,64
37,-0.038,0.9764999999999999,-0.0495,1.5854,-1.9148000000000003,-0.20719999999999983,64
38,-0.041666666666666664,0.979,-0.047999999999999994,2.4026000000000005,-1.5976,-1.1708,64
39,-0.051000000000000004,0.9675,-0.048,0.2928,-3.8293999999999997,-0.3416,64
40,-0.058666666666666666,0.9693333333333333,-0.052333333333333336,2.5976,-3.6708,-0.6952,64
41,-0.05499999999999999,0.872,-0.07,11.9756,8.5488,-11.561,64
42,-0.10033333333333334,0.781,-0.13466666666666668,26.780399999999997,14.475399999999999,-33.2684,64
43,-0.2,0.9005000000000001,-0.20450000000000002,21.439,-6.3048,-4.0976,64
44,-0.247,0.9169999999999999,-0.206,-31.8414,-4.7318,5.9514,64
45,-0.269,1.2325,-0.1185,-27.170799999999996,-11.7682,11.0122,64
46,-0.24566666666666667,1.1846666666666665,-0.07733333333333332,32.7318,0.8049999999999999,-10.5852,64
47,-0.1795,0.8614999999999999,-0.124,20.7562,-5.780600000000001,-2.4024,64
48,-0.20633333333333334,0.9296666666666668,-0.23233333333333336,3.8415999999999997,-3.7682,-6.255999999999999,64
49,-0.2615,0.9275,-0.2115,7.4998000000000005,-1.7075999999999993,2.0608000000000004,64
50,-0.27,0.957,-0.25566666666666665,-6.2072,-4.878,15.890199999999998,64
51,-0.1985,0.995,-0.22,-29.305,-3.1586,27.0976,64
52,-0.08800000000000001,0.789,-0.09666666666666668,-37.9024,-1.1343999999999994,20.7562,64
53,-0.0165,0.8540000000000001,-0.009500000000000001,16.2926,-3.5488,2.1708000000000003,64
54,-0.03133333333333333,0.9926666666666667,-0.06466666666666666,-1.7072000000000003,1.0732,-1.0364,64
55,-0.05,0.9929999999999999,-0.0165,-0.4511999999999997,-2.6586,2.2194,64
56,-0.037,0.9833333333333334,-0.015333333333333332,-4.8048,-0.3902,-1.3782,64
57,-0.026000000000000002,0.948,-0.0009999999999999992,9.0242,-0.9879999999999995,-2.061,64
58,-0.05566666666666667,0.9916666666666666,-0.04033333333333333,0.7804,-4.683,3.6098,64
59,-0.0475,0.955,-0.0455,4.5242,-2.9756,-2.7682,64
60,-0.056,0.9826666666666667,-0.04633333333333334,-2.0122,0.5,-0.5365999999999999,64
61,-0.0635,0.9339999999999999,-0.049,7.8658,3.3414,-3.5245999999999995,64
62,-0.06966666666666667,0.758,-0.09600000000000002,27.170799999999996,8.561,-27.549,64
63,-0.1585,0.88,-0.192,21.5976,1.9756,-15.317000000000002,64
64,-0.211,0.9313333333333333,-0.21666666666666667,-6.6952,-5.122,11.0974,64
65,-0.20700000000000002,1.0265,-0.087,-44.4024,-12.3048,7.6218,64
66,-0.27799999999999997,1.3933333333333333,-0.08533333333333333,26.2194,5.9266000000000005,-20.8172,64
67,-0.225,0.8245,-0.1185,14.7196,-16.5122,-11.0732,64
68,-0.2683333333333333,0.8936666666666667,-0.16866666666666666,-3.3047999999999993,2.3538000000000006,-6.3416,64
69,-0.26949999999999996,0.92,-0.16649999999999998,12.317,3.9268,19.8904,64
70,-0.25633333333333336,0.9653333333333333,-0.18866666666666668,-6.4876000000000005,-1.1218,6.3902,64
71,-0.191,1.0314999999999999,-0.174,-18.5854,-13.158600000000002,29.024400000000004,64
72,-0.08866666666666667,0.7876666666666666,-0.09633333333333334,-30.0122,6.0732,22.0246,64
