,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,label
2465,0.0195,0.9450000000000001,0.026,4.2074,-3.4512,-4.5974,bench
5635,0.11433333333333333,-1.2076666666666667,-0.27,-3.4753999999999996,-2.122,-4.5733999999999995,dead
2954,-0.19066666666666668,1.0163333333333335,0.17333333333333334,-20.2438,-22.2806,44.756,ohp
800,-0.18699999999999997,0.5773333333333334,-0.13399999999999998,-72.5976,-7.4026,44.744,ohp
8377,0.0405,-0.5575,0.163,4.8658,-5.9514,4.256,row
1405,0.1815,0.7444999999999999,1.021,3.1828000000000003,-6.9268,1.8171999999999997,squat
56,-0.037,0.9833333333333334,-0.015333333333333332,-4.8048,-0.3902,-1.3782,bench
4202,0.383,0.6683333333333333,0.5356666666666667,9.9146,-12.7072,-5.0851999999999995,squat
69,-0.26949999999999996,0.92,-0.16649999999999998,12.317,3.9268,19.8904,bench
4619,0.05333333333333334,-0.758,0.29433333333333334,50.0124,-2.2558,0.2683999999999999,dead
711,-0.2836666666666667,1.1263333333333334,-0.08133333333333333,61.9634,35.378,-49.4146,ohp
5717,0.11199999999999999,-1.0123333333333333,-0.23700000000000002,0.1585999999999999,27.377999999999997,0.25619999999999993,dead
265,-0.014,0.7495,-0.14600000000000002,7.4514,0.2684000000000001,-0.8173999999999999,bench
1586,0.103,0.726,0.593,1.5854,0.46340000000000003,0.9146000000000001,squat
2862,-0.4,0.9205000000000001,0.11699999999999999,27.3414,-40.7318,53.9024,ohp
8290,-0.02333333333333333,-1.27,-0.123,23.4268,-9.9146,-6.7926,row
4505,0.016,-0.7729999999999999,0.089,-28.0856,-2.3167999999999997,-4.9636,dead
3033,-0.008333333333333333,-0.9676666666666667,0.030333333333333334,-31.438800000000004,-3.0732,0.9266,row
3244,0.03,-1.2806666666666666,-0.148,6.5489999999999995,-4.3172,1.1341999999999999,row
7046,0.611,0.446,-0.161,99.18299999999999,56.1832,38.5368,rest
5254,0.07450000000000001,-0.8999999999999999,0.5349999999999999,1.0122000000000004,-0.45120000000000005,-1.3900000000000001,dead
3091,0.017666666666666667,-1.4616666666666667,-0.023333333333333334,37.256,-18.4756,-30.1098,row
3771,0.0465,-1.2195,0.08349999999999999,46.3414,-20.3656,-34.622,row
8128,-0.06,-1.0386666666666666,-0.09499999999999999,-0.8779999999999999,-2.8174,0.7074,row
8661,0.22966666666666666,-0.902,0.3606666666666667,16.0242,-30.341200000000004,14.109800000000002,rest
7980,0.28933333333333333,-0.9913333333333333,0.37000000000000005,-8.8902,20.183,-23.5488,rest
3071,0.006999999999999999,-1.4056666666666668,-0.0016666666666666728,45.5122,-12.7806,-32.622,row
2348,-0.19200000000000003,0.809,-0.4093333333333333,14.0858,-10.1828,-2.9512,bench
8604,0.816,-0.735,0.361,-31.86,8.4605,91.616,rest
7544,0.0009999999999999998,0.992,-0.20566666666666666,3.2072000000000003,-2.378,-3.7438000000000002,bench
2847,-0.07733333333333332,1.0759999999999998,0.17633333333333334,-16.9022,-24.3416,50.9512,ohp
7108,0.016,-0.5716666666666667,0.15733333333333333,8.4756,1.6951999999999998,19.183,row
2088,-0.14866666666666664,1.027,-0.17266666666666666,-17.4756,-13.963399999999998,12.2804,bench
3428,-0.211,0.7153333333333333,-0.14666666666666664,25.8538,0.7929999999999998,-16.6832,ohp
4519,0.064,-0.865,-0.1245,-28.7562,-5.744000000000001,-4.561,dead
5775,0.049666666666666665,-0.888,0.015666666666666666,-25.682799999999997,-6.3538,-5.4392000000000005,dead
2301,-0.317,1.3143333333333334,-0.5423333333333333,-6.0002,6.5732,-27.4024,bench
7794,0.971,-0.263,0.07150000000000001,0.29259999999999997,-0.9022,0.6588,rest
4076,0.221,0.623,0.677,-21.2562,-0.3903999999999999,-0.5122,squat
8148,0.048999999999999995,-1.0606666666666666,0.106,-25.3412,3.7927999999999997,5.7806,row
1329,-0.04,1.3156666666666668,-0.14433333333333334,-1.4145999999999999,1.8292000000000002,-2.2563999999999993,ohp
8213,0.0255,-0.4795,0.1775,1.9880000000000002,-6.183,9.305,row
1684,0.11433333333333333,0.7953333333333333,0.723,26.6462,3.5244,8.122,squat
8934,-0.046,-1.3885,-0.16699999999999998,23.4392,-1.9268,-20.3292,row
7238,0.07633333333333334,-1.0403333333333336,0.13466666666666666,-40.0002,12.0122,2.2194000000000003,row
1777,0.099,0.471,0.364,-26.427,-4.8292,3.8902,squat
5719,0.12166666666666666,-1.0156666666666665,-0.14933333333333335,12.0488,-0.01200000000000001,-3.0974,dead
751,-0.30433333333333334,0.8633333333333333,-0.30666666666666664,-63.78060000000001,-7.0976,35.6096,ohp
4315,0.072,0.6305000000000001,0.784,1.0246,-1.6827999999999999,-4.8414,squat
5119,0.025333333333333333,-1.094,-0.10566666666666667,-2.5244,-8.378,-0.08539999999999992,dead
5556,-0.03,0.516,0.9146666666666666,22.5608,3.4391999999999996,11.0242,squat
4864,0.07033333333333334,-0.7813333333333333,0.26699999999999996,-22.0976,-5.377800000000001,6.7196,dead
476,-0.15466666666666665,1.2633333333333334,-0.04733333333333334,10.7196,-0.35360000000000014,-18.6462,ohp
4319,0.028499999999999998,0.5705,0.7464999999999999,-7.7562,-6.0852,-3.939,squat
2498,-0.058,0.853,-0.07300000000000001,9.0732,-3.7805999999999997,-20.1952,bench
6779,0.029666666666666664,0.9746666666666667,-0.08700000000000001,-0.02420000000000009,-0.9268000000000001,0.012400000000000055,bench
211,-0.2595,0.905,-0.11449999999999999,0.3780000000000001,5.9268,-3.061,bench
468,-0.238,0.8726666666666666,-0.16333333333333333,15.341399999999998,1.0853999999999997,-6.8904,ohp
1545,-0.2645,0.923,0.2865,11.6588,-12.683,0.6097999999999999,squat
5092,-0.041999999999999996,-1.0935000000000001,0.22349999999999998,-15.950999999999999,0.35359999999999997,-0.5368000000000002,dead
5749,0.14333333333333334,-1.211,-0.13233333333333333,8.5976,-4.7684,-17.0488,dead
8658,0.3025,-0.8865,0.34299999999999997,-33.1342,46.3904,13.597399999999999,rest
5793,0.071,-1.099,-0.07266666666666666,-2.7562,-2.927,0.42680000000000007,dead
7728,0.2795,-0.932,0.2895,1.768,-2.6098,0.6344000000000001,rest
4099,0.24033333333333332,0.6890000000000001,0.924,3.7803999999999993,-5.878,-3.7196000000000007,squat
1025,-0.206,0.681,-0.13733333333333334,-2.8656000000000006,-4.4024,39.9878,ohp
3617,-0.3495,0.8474999999999999,-0.1995,-23.1708,6.634,10.6708,ohp
6277,0.053,0.716,0.371,-14.238,-6.585500000000001,-4.71025,squat
2304,-0.273,0.8605,-0.4335,-5.4634,-2.6100000000000003,10.3416,bench
8925,-0.026333333333333334,-1.1496666666666666,-0.09633333333333334,10.4148,-12.1464,1.4998,row
1470,-0.2956666666666667,0.867,0.5846666666666667,1.3414,-3.5732,0.1339999999999999,squat
